iter	Passed	Remaining
0	3206	6409758
1	6328	6322165
2	9495	6320938
3	12697	6336009
4	15855	6326340
5	19005	6316324
6	22130	6300763
7	25257	6289022
8	28346	6270855
9	31540	6276624
10	34735	6280878
11	37938	6285213
12	41133	6287099
13	44403	6298988
14	47705	6313002
15	50869	6307853
16	53990	6297813
17	57163	6294362
18	60291	6286208
19	63401	6276741
20	66523	6269017
21	69770	6273035
22	72928	6268661
23	76161	6270589
24	79367	6270053
25	82546	6267202
26	85729	6264591
27	88892	6260595
28	91999	6252777
29	95058	6242171
30	98155	6234469
31	101299	6229943
32	104379	6221624
33	107519	6217178
34	110612	6210109
35	113689	6202415
36	116782	6195778
37	119897	6190512
38	123018	6185608
39	126113	6179539
40	129191	6172842
41	132291	6167296
42	135379	6161327
43	138575	6160325
44	141759	6158671
45	144978	6158454
46	148212	6158693
47	151328	6154008
48	154568	6154351
49	157732	6151586
50	160876	6147999
51	164018	6144376
52	167169	6141112
53	170385	6140200
54	173606	6139363
55	176753	6135866
56	179912	6132790
57	183044	6128850
58	186257	6127561
59	189542	6128533
60	192645	6123584
61	196196	6132724
62	200082	6151752
63	203369	6151933
64	207040	6163425
65	211388	6194325
66	215475	6216615
67	220361	6260845
68	224941	6295088
69	229187	6319017
70	233291	6338290
71	237230	6352507
72	240455	6347379
73	243568	6339357
74	247069	6341454
75	250217	6334450
76	253669	6335147
77	258134	6360703
78	262025	6371527
79	266162	6387890
80	269884	6393922
81	273390	6394673
82	276755	6392063
83	280062	6388087
84	283495	6386997
85	286918	6385612
86	290305	6383394
87	293647	6380163
88	296947	6376021
89	300272	6372457
90	303721	6371475
91	307098	6368956
92	310530	6367539
93	313906	6364948
94	317328	6363276
95	320728	6361106
96	324163	6359624
97	327573	6357592
98	330864	6353262
99	334132	6348517
100	337405	6343900
101	340675	6339227
102	343981	6335269
103	347382	6333048
104	350741	6330052
105	354104	6327109
106	357392	6322848
107	360804	6320767
108	364182	6318065
109	367493	6314211
110	370942	6312699
111	374278	6309265
112	377548	6304731
113	380960	6302558
114	384337	6299796
115	387774	6297992
116	391148	6295146
117	394553	6292787
118	397905	6289577
119	401199	6285453
120	404475	6281073
121	407936	6279547
122	411302	6276545
123	414634	6273011
124	417896	6268447
125	421264	6265477
126	424573	6261626
127	428008	6259625
128	431330	6255959
129	434750	6253714
130	438097	6250420
131	441723	6251057
132	445691	6256440
133	449202	6255307
134	452449	6250511
135	455720	6246048
136	458909	6240504
137	462051	6234341
138	465282	6229425
139	468487	6224188
140	471655	6218495
141	474924	6214151
142	478096	6208571
143	481476	6205698
144	484955	6204084
145	488242	6200006
146	491451	6194968
147	494722	6190719
148	497875	6185016
149	501344	6183254
150	504512	6177778
151	507644	6171883
152	510894	6167469
153	514047	6161893
154	517230	6156715
155	520335	6150630
156	523442	6144615
157	526634	6139628
158	529757	6133862
159	532929	6128688
160	536054	6123004
161	539255	6118218
162	542517	6114136
163	545731	6109525
164	549103	6106700
165	552334	6102292
166	555593	6098223
167	558861	6094252
168	562445	6093713
