iter	Passed	Remaining
0	18442	36866795
1	35624	35589135
2	53110	35353678
3	70316	35087952
4	87779	35024181
5	107909	35861788
6	128196	36499427
7	148642	37011914
8	168776	37337065
9	188303	37472325
10	207507	37521117
11	226369	37501960
12	244729	37405942
13	265002	37592522
14	285421	37770791
15	306148	37962376
16	328412	38308385
17	348351	38357335
18	366970	38261545
19	385420	38156592
20	403528	38027794
21	421570	37903056
22	440637	37875695
23	461099	37963898
24	478781	37823744
25	496372	37686119
26	514698	37611100
27	536638	37794662
28	557790	37910489
29	577212	37903592
30	595320	37812429
31	614508	37792248
32	633930	37786074
33	651948	37697970
34	671473	37698441
35	691498	37725078
36	711166	37730245
37	731597	37773553
38	750975	37760586
39	769435	37702355
40	788637	37681500
41	806132	37581127
42	823829	37493828
43	843287	37487971
44	862006	37449378
45	879959	37379155
46	898104	37319099
47	916484	37270379
48	936754	37298118
49	956875	37318135
50	975856	37293043
51	994328	37249067
52	1012129	37181449
53	1029850	37112772
54	1048791	37089092
55	1066605	37026434
56	1085053	36986990
57	1104733	36989512
58	1123015	36945305
59	1141224	36899604
60	1160822	36898928
61	1180857	36911323
62	1199959	36894006
63	1217889	36841169
64	1236693	36815400
65	1254743	36767792
66	1272670	36717494
67	1290604	36668356
68	1309448	36645584
