iter	Passed	Remaining
0	67	135681
1	130	129911
2	197	131507
3	264	131754
4	332	132866
5	403	133978
6	469	133739
7	535	133425
8	601	133022
9	665	132357
10	732	132532
11	797	132153
12	860	131551
13	921	130713
14	990	131027
15	1058	131269
16	1126	131400
17	1197	131831
18	1257	131093
19	1326	131369
20	1396	131560
21	1459	131247
22	1525	131085
23	1591	131074
24	1657	130912
25	1725	131042
26	1790	130848
27	1857	130799
28	1919	130486
29	1982	130162
30	2044	129838
31	2163	133060
32	2232	133095
33	2302	133142
34	2367	132910
35	2429	132557
36	2493	132305
37	2558	132122
38	2625	131995
39	2690	131817
40	2755	131657
41	2817	131329
42	2884	131261
43	2951	131199
44	3015	130990
45	3079	130818
46	3144	130683
47	3221	131003
48	3284	130790
49	3354	130817
50	3419	130668
51	3487	130665
52	3551	130477
53	3620	130463
54	3686	130361
55	3746	130066
56	3809	129863
57	3876	129809
58	3948	129888
59	4008	129618
60	4077	129609
61	4144	129540
62	4206	129345
63	4273	129271
64	4343	129287
65	4404	129060
66	4462	128746
67	4521	128477
68	4584	128289
69	4649	128199
70	4718	128201
71	4783	128087
72	4849	128002
73	4916	127955
74	4982	127890
75	5049	127834
76	5113	127697
77	5177	127582
78	5240	127436
79	5310	127440
80	5375	127349
81	5436	127164
82	5498	126987
83	5566	126961
84	5629	126831
85	5695	126753
86	5754	126540
87	5819	126433
88	5884	126352
89	5945	126172
90	6012	126140
91	6079	126082
92	6146	126045
93	6217	126063
94	6288	126094
95	6357	126087
96	6421	125977
97	6479	125764
98	6542	125619
99	6603	125465
100	6666	125342
101	6730	125243
102	6793	125122
103	6855	124989
104	6930	125074
105	6986	124839
106	7047	124673
107	7107	124511
108	7181	124592
109	7254	124653
110	7320	124579
111	7379	124401
112	7438	124220
113	7503	124143
114	7567	124035
115	7631	123946
116	7697	123881
117	7757	123733
118	7823	123662
119	7888	123593
120	7954	123523
121	8015	123389
122	8075	123232
123	8138	123134
124	8201	123022
125	8272	123043
126	8339	122991
127	8397	122807
128	8459	122693
129	8517	122520
130	8585	122486
131	8648	122386
132	8712	122299
133	8771	122144
134	8828	121957
135	8893	121898
136	8958	121829
137	9023	121750
138	9090	121705
139	9156	121647
140	9217	121520
141	9281	121444
142	9349	121411
143	9415	121352
144	9481	121295
145	9550	121277
146	9612	121170
147	9670	121008
148	9737	120961
149	9800	120872
150	9866	120819
151	9938	120833
152	10005	120789
153	10071	120730
154	10146	120778
155	10217	120770
156	10285	120738
157	10348	120645
158	10414	120586
159	10477	120495
160	10540	120400
161	10599	120261
162	10658	120121
163	10717	119984
164	10786	119962
165	10846	119832
166	10911	119768
167	10980	119742
168	11045	119668
169	11103	119528
170	11162	119393
171	11219	119238
172	11289	119221
173	11350	119116
174	11415	119044
175	11489	119074
176	11550	118960
177	11611	118858
178	11672	118744
179	11738	118685
180	11800	118586
181	11858	118454
182	11924	118402
183	11986	118300
184	12050	118229
185	12119	118199
186	12195	118235
187	12250	118075
188	12316	118013
189	12392	118054
190	12449	117910
191	12512	117823
192	12570	117689
193	12627	117549
194	12688	117450
195	12778	117611
196	12866	117754
197	12934	117716
198	12999	117651
199	13061	117555
200	13116	117396
201	13182	117337
202	13249	117283
203	13308	117164
204	13367	117042
205	13423	116904
206	13482	116786
207	13548	116726
208	13608	116616
209	13669	116514
210	13725	116374
211	13788	116288
212	13855	116239
213	13919	116171
214	13979	116062
215	14044	115994
216	14104	115889
217	14162	115770
218	14223	115673
219	14290	115622
220	14359	115592
221	14419	115487
222	14480	115393
223	14547	115341
224	14609	115249
225	14686	115284
226	14750	115206
227	14809	115099
228	14870	115002
229	14929	114895
230	14987	114773
231	15042	114636
232	15101	114526
233	15164	114447
234	15227	114368
235	15294	114320
236	15351	114199
237	15418	114147
238	15482	114079
239	15548	114019
240	15609	113932
241	15677	113891
242	15754	113914
243	15812	113796
244	15874	113716
245	15930	113583
246	15997	113538
247	16058	113448
248	16122	113372
249	16179	113257
250	16241	113172
251	16307	113116
252	16364	112995
253	16430	112946
254	16499	112911
255	16558	112804
256	16617	112698
257	16678	112613
258	16736	112506
259	16801	112439
260	16857	112316
261	16918	112229
262	16975	112118
263	17039	112047
264	17099	111950
265	17160	111865
266	17215	111738
267	17286	111715
268	17347	111627
269	17407	111539
270	17469	111454
271	17523	111328
272	17581	111221
273	17641	111129
274	17713	111112
275	17771	111008
276	17836	110945
277	17894	110839
278	17960	110790
279	18025	110726
280	18084	110633
281	18151	110584
282	18214	110508
283	18281	110458
284	18341	110370
285	18398	110261
286	18462	110195
287	18525	110121
288	18590	110064
289	18663	110050
290	18720	109943
291	18782	109867
292	18853	109837
293	18934	109872
294	19005	109844
295	19069	109776
296	19130	109695
297	19191	109611
298	19253	109532
299	19322	109496
300	19380	109393
301	19444	109326
302	19503	109231
303	19583	109253
304	19640	109149
305	19712	109129
306	19773	109046
307	19837	108976
308	19903	108919
309	19968	108861
310	20032	108791
311	20096	108724
312	20162	108668
313	20235	108651
314	20304	108613
315	20378	108600
316	20445	108548
317	20508	108477
318	20581	108453
319	20639	108355
320	20710	108327
321	20769	108233
322	20835	108178
323	20900	108115
324	20966	108057
325	21035	108018
326	21096	107935
327	21157	107853
328	21233	107847
329	21300	107795
330	21378	107796
331	21444	107739
332	21512	107694
333	21574	107611
334	21631	107509
335	21687	107403
336	21749	107329
337	21816	107273
338	21879	107203
339	21948	107159
340	22006	107063
341	22068	106985
342	22130	106908
343	22197	106855
344	22265	106811
345	22328	106738
346	22394	106682
347	22461	106629
348	22526	106565
349	22594	106518
350	22665	106481
351	22733	106434
352	22809	106420
353	22875	106362
354	22940	106303
355	23000	106217
356	23069	106173
357	23135	106112
358	23206	106078
359	23272	106020
360	23334	105942
361	23396	105865
362	23458	105789
363	23518	105706
364	23579	105622
365	23641	105548
366	23709	105498
367	23769	105411
368	23841	105382
369	23909	105333
370	23981	105298
371	24043	105220
372	24108	105157
373	24168	105075
374	24249	105080
375	24319	105038
376	24391	105006
377	24456	104943
378	24519	104870
379	24593	104847
380	24655	104768
381	24716	104688
382	24780	104620
383	24840	104535
384	24911	104500
385	24978	104442
386	25041	104373
387	25107	104311
388	25170	104242
389	25232	104164
390	25291	104075
391	25354	104004
392	25423	103959
393	25494	103919
394	25565	103879
395	25629	103812
396	25688	103725
397	25755	103669
398	25818	103598
399	25888	103553
400	25957	103507
401	26024	103451
402	26088	103384
403	26158	103337
404	26221	103269
405	26287	103207
406	26353	103146
407	26420	103091
408	26481	103014
409	26541	102928
410	26605	102863
411	26667	102786
412	26734	102729
413	26800	102669
414	26865	102607
415	26933	102552
416	26996	102482
417	27064	102430
418	27126	102354
419	27185	102267
420	27252	102214
421	27319	102157
422	27381	102081
423	27445	102014
424	27511	101953
425	27576	101889
426	27635	101806
427	27699	101738
428	27767	101684
429	27826	101598
430	27887	101519
431	27961	101489
432	28033	101451
433	28099	101389
434	28164	101327
435	28229	101264
436	28299	101216
437	28366	101160
438	28434	101107
439	28494	101026
440	28575	101019
441	28654	101003
442	28723	100952
443	28792	100904
444	28861	100852
445	28937	100825
446	29008	100783
447	29087	100766
448	29170	100764
449	29244	100731
450	29315	100686
451	29394	100669
452	29472	100648
453	29546	100612
454	29618	100572
455	29694	100543
456	29760	100481
457	29832	100439
458	29899	100381
459	29977	100360
460	30053	100330
461	30121	100273
462	30187	100211
463	30259	100169
464	30329	100119
465	30399	100069
466	30476	100043
467	30544	99986
468	30611	99926
469	30691	99909
470	30765	99872
471	30833	99817
472	30900	99757
473	30978	99732
474	31054	99700
475	31123	99647
476	31194	99600
477	31270	99568
478	31342	99524
479	31414	99480
480	31491	99450
481	31559	99393
482	31631	99348
483	31707	99313
484	31777	99263
485	31844	99204
486	31915	99153
487	31984	99100
488	32057	99055
489	32130	99013
490	32203	98971
491	32273	98919
492	32341	98860
493	32418	98829
494	32485	98768
495	32556	98719
496	32626	98668
497	32704	98639
498	32776	98593
499	32856	98568
500	32924	98509
501	32992	98452
502	33062	98398
503	33153	98407
504	33225	98359
505	33296	98311
506	33362	98245
507	33441	98217
508	33519	98187
509	33596	98153
510	33664	98093
511	33733	98038
512	33810	98004
513	33879	97947
514	33956	97912
515	34028	97865
516	34096	97804
517	34165	97748
518	34237	97699
519	34305	97637
520	34372	97576
521	34446	97531
522	34518	97482
523	34595	97447
524	34666	97397
525	34738	97346
526	34803	97279
527	34869	97212
528	34938	97152
529	35004	97089
530	35073	97029
531	35143	96973
532	35214	96922
533	35281	96860
534	35353	96808
535	35426	96761
536	35497	96709
537	35562	96641
538	35638	96601
539	35714	96560
540	35783	96503
541	35848	96434
542	35918	96379
543	35991	96330
544	36068	96293
545	36140	96242
546	36216	96201
547	36284	96140
548	36353	96082
549	36429	96041
550	36499	95985
551	36568	95926
552	36638	95869
553	36710	95817
554	36790	95787
555	36863	95738
556	36930	95673
557	36997	95611
558	37071	95563
559	37143	95511
560	37209	95444
561	37286	95406
562	37356	95348
563	37420	95277
564	37477	95187
565	37535	95099
566	37603	95036
567	37666	94961
568	37738	94909
569	37797	94824
570	37860	94750
571	37919	94666
572	37990	94610
573	38054	94539
574	38122	94477
575	38181	94392
576	38242	94313
577	38302	94231
578	38368	94164
579	38429	94085
580	38495	94017
581	38560	93950
582	38634	93901
583	38706	93850
584	38769	93776
