iter	RMSE	PrecisionAt:top=5	MAP:top=5
0	0.2048958541	0.04944444444	0.03824737654
1	0.2034288576	0.05477777778	0.04630138889
2	0.2021283123	0.06688888889	0.0579845679
3	0.2010059738	0.06977777778	0.0631595679
4	0.2000050241	0.07177777778	0.06540246914
5	0.1991625876	0.073	0.06691743827
6	0.1983947543	0.07455555556	0.07114212963
7	0.1977115432	0.07555555556	0.07222746914
8	0.1970486855	0.07788888889	0.07525385802
9	0.1964549525	0.08155555556	0.08149351852
10	0.1959628193	0.08144444444	0.0824992284
11	0.1954842494	0.08422222222	0.0852367284
12	0.1950241411	0.08411111111	0.08563410494
13	0.1946372255	0.08511111111	0.08849166667
14	0.1942758948	0.08688888889	0.09131959877
15	0.1939636556	0.08677777778	0.0907367284
16	0.1936342783	0.088	0.09177762346
17	0.1932904237	0.08877777778	0.0942662037
18	0.1929988213	0.091	0.09890725309
19	0.1927317683	0.09211111111	0.09955046296
20	0.1924868439	0.09155555556	0.0977029321
21	0.192262604	0.09088888889	0.09777608025
22	0.1920632272	0.09255555556	0.1005652778
23	0.1918646734	0.09244444444	0.0998117284
24	0.191676359	0.09377777778	0.1024316358
25	0.1914825766	0.09388888889	0.1028800926
26	0.1912852372	0.09422222222	0.1040904321
27	0.1911215904	0.09455555556	0.1048716049
28	0.1909768965	0.09544444444	0.1061817901
29	0.1908208804	0.09688888889	0.1070682099
30	0.1906780236	0.097	0.1075712963
31	0.1905431861	0.09733333333	0.1080759259
32	0.1904192332	0.09822222222	0.1083959877
33	0.1903232959	0.098	0.1084759259
34	0.1901739642	0.09888888889	0.1108074074
35	0.1900593117	0.09911111111	0.1109807099
36	0.1899635597	0.09922222222	0.1116820988
37	0.1898723498	0.1001111111	0.1125429012
38	0.1897566065	0.1004444444	0.112670216
39	0.1896527186	0.1011111111	0.1137472222
40	0.189561994	0.1013333333	0.1134057099
41	0.1894591907	0.1017777778	0.1137066358
42	0.1893721279	0.1016666667	0.1136601852
43	0.1892903641	0.102	0.1150404321
44	0.1892211962	0.1024444444	0.1155759259
45	0.1891227893	0.1032222222	0.1159933642
46	0.1890416197	0.1033333333	0.116133179
47	0.1889515357	0.1038888889	0.1163007716
48	0.1888634865	0.1052222222	0.1172285494
49	0.1887744629	0.1053333333	0.1171638889
50	0.1886960816	0.1056666667	0.1189901235
51	0.1886298785	0.1056666667	0.1189814815
52	0.1885577853	0.1063333333	0.1187891975
53	0.1884989384	0.1057777778	0.1196589506
54	0.1884233895	0.1056666667	0.1194527778
55	0.1883753113	0.1057777778	0.1195527778
56	0.1883015407	0.1054444444	0.1194966049
57	0.1882447195	0.1061111111	0.1197197531
58	0.188173202	0.106	0.1208651235
59	0.1881167973	0.1055555556	0.1200007716
60	0.1880667126	0.1056666667	0.1203871914
61	0.1880008134	0.1062222222	0.1211023148
62	0.1879434419	0.107	0.1209376543
63	0.1878955342	0.1065555556	0.1207941358
64	0.1878280992	0.1071111111	0.1208817901
65	0.1877630052	0.1073333333	0.1214075617
66	0.1877100345	0.1075555556	0.1215853395
67	0.1876520152	0.1078888889	0.1220615741
68	0.1876069299	0.1082222222	0.122533642
69	0.1875706049	0.1085555556	0.1227733025
70	0.1875169602	0.109	0.1241774691
71	0.1874839986	0.1096666667	0.1245001543
72	0.1874323815	0.11	0.1243935185
73	0.1873977966	0.1101111111	0.1243947531
74	0.1873526381	0.1098888889	0.1249695988
75	0.1873174879	0.1102222222	0.1252324074
76	0.1872828219	0.1105555556	0.1244003086
77	0.1872615772	0.1111111111	0.1250259259
78	0.187218988	0.111	0.1257584877
