iter	Passed	Remaining
0	59	118159
1	113	113380
2	165	110491
3	217	108365
4	271	108294
5	324	107791
6	375	106966
7	429	107022
8	487	107819
9	581	115716
10	685	124036
11	752	124644
12	818	125038
13	883	125264
14	949	125609
15	1002	124353
16	1056	123235
17	1113	122629
18	1168	121845
19	1223	121172
20	1277	120406
21	1339	120399
22	1456	125224
23	1531	126123
24	1583	125072
25	1641	124616
26	1697	124028
27	1747	123108
28	1800	122346
29	1856	121908
30	1937	123065
31	2028	124759
32	2084	124219
33	2131	123229
34	2182	122522
35	2232	121805
36	2289	121483
37	2338	120738
38	2397	120535
39	2444	119770
40	2495	119236
41	2547	118750
42	2594	118058
43	2641	117407
44	2690	116877
45	2739	116383
46	2787	115838
47	2839	115454
48	2890	115078
49	2943	114798
50	2996	114526
51	3047	114161
52	3095	113709
53	3182	114698
54	3255	115111
55	3307	114830
56	3355	114397
57	3402	113933
58	3450	113526
59	3501	113205
60	3552	112917
61	3663	114500
62	3734	114812
63	3786	114544
64	3839	114306
65	3892	114075
66	3942	113757
67	3992	113446
68	4041	113096
69	4085	112641
70	4129	112195
71	4179	111928
72	4234	111776
73	4284	111513
74	4327	111079
75	4386	111046
76	4432	110694
77	4482	110454
78	4533	110231
79	4583	110013
80	4634	109789
81	4681	109501
82	4727	109197
83	4781	109067
84	4833	108899
85	4886	108756
86	4944	108713
87	4994	108506
88	5049	108420
89	5093	108097
90	5145	107932
91	5197	107801
92	5244	107537
93	5292	107323
94	5342	107134
95	5391	106932
96	5440	106736
97	5492	106593
98	5543	106444
99	5591	106241
100	5635	105955
101	5687	105825
102	5738	105690
103	5789	105538
104	5843	105456
105	5894	105315
106	5942	105130
107	5987	104893
108	6037	104734
109	6084	104538
110	6135	104410
111	6184	104254
112	6236	104139
113	6283	103956
114	6329	103747
115	6378	103591
116	6421	103354
117	6474	103267
118	6526	103168
119	6583	103145
120	6642	103146
121	6731	103625
122	6788	103593
123	6843	103536
124	6893	103401
125	6939	103204
126	6989	103079
127	7043	103009
128	7087	102795
129	7135	102636
130	7192	102615
131	7252	102631
132	7305	102555
133	7354	102416
134	7402	102267
135	7448	102085
136	7497	101951
137	7543	101776
138	7597	101721
139	7650	101638
140	7706	101599
141	7755	101471
142	7810	101423
143	7862	101342
144	7911	101218
145	7987	101432
146	8070	101732
147	8125	101678
148	8182	101647
149	8241	101648
150	8285	101458
151	8335	101336
152	8396	101356
153	8457	101378
154	8509	101289
155	8566	101258
156	8613	101114
157	8661	100974
158	8710	100858
159	8754	100680
160	8807	100599
161	8851	100430
162	8903	100345
163	8956	100273
164	9007	100173
165	9052	100016
166	9134	100264
167	9227	100618
168	9276	100507
169	9331	100451
170	9383	100368
171	9437	100305
172	9494	100270
173	9538	100098
174	9589	100003
175	9643	99939
176	9692	99829
177	9743	99732
178	9789	99585
179	9841	99505
180	9891	99403
181	9939	99284
182	9991	99208
183	10047	99165
184	10098	99077
185	10147	98961
186	10203	98922
187	10255	98842
188	10312	98809
189	10360	98697
190	10411	98609
191	10462	98522
192	10517	98469
193	10570	98400
194	10626	98365
195	10673	98239
196	10726	98172
197	10779	98106
198	10832	98034
199	10883	97951
200	10933	97857
201	10982	97750
202	11033	97669
203	11083	97581
204	11128	97446
205	11181	97372
206	11232	97296
207	11282	97206
208	11329	97085
209	11379	96999
210	11434	96950
211	11481	96836
212	11529	96732
213	11581	96653
214	11635	96601
215	11692	96571
216	11744	96499
217	11795	96421
218	11848	96354
219	11897	96262
220	11948	96181
221	11997	96091
222	12044	95976
223	12088	95844
224	12138	95759
225	12182	95624
226	12237	95580
227	12279	95436
228	12335	95400
229	12377	95254
230	12428	95175
231	12483	95132
232	12541	95111
233	12585	94985
234	12639	94933
235	12688	94843
236	12734	94726
237	12794	94720
238	12844	94640
239	12894	94557
240	12946	94495
241	12999	94433
242	13053	94379
243	13106	94325
244	13157	94251
245	13213	94215
246	13274	94209
247	13334	94201
248	13393	94187
