iter	Passed	Remaining
0	237	237330
1	436	217728
2	646	215018
3	841	209545
4	1040	207038
5	1238	205114
6	1431	203014
7	1663	206215
8	1852	203992
9	2045	202478
10	2236	201115
11	2430	200119
12	2633	199954
13	2849	200658
14	3045	199979
15	3250	199877
16	3443	199130
17	3644	198802
18	3880	200333
19	4138	202803
20	4359	203248
21	4577	203492
22	4781	203109
23	4993	203054
24	5187	202293
25	5382	201634
26	5573	200849
27	5764	200117
28	5964	199706
29	6156	199074
30	6353	198601
31	6563	198546
32	6777	198589
33	6971	198059
34	7165	197573
35	7372	197409
36	7565	196913
37	7773	196795
38	7970	196389
39	8164	195938
40	8364	195644
41	8557	195198
42	8810	196091
43	9007	195700
44	9205	195354
45	9407	195102
46	9605	194760
47	9796	194291
48	9982	193737
49	10174	193306
50	10379	193142
51	10573	192761
52	10764	192339
53	10961	192033
54	11157	191710
55	11353	191392
56	11546	191022
57	11749	190832
58	11956	190691
59	12154	190415
60	12347	190072
61	12538	189688
62	12769	189921
63	12978	189809
64	13171	189467
65	13364	189121
66	13561	188851
67	13759	188584
68	13974	188552
69	14166	188215
70	14361	187915
71	14553	187575
72	14757	187395
73	14959	187191
74	15159	186962
75	15356	186703
76	15551	186410
77	15740	186062
78	15939	185820
79	16123	185415
80	16311	185065
81	16518	184930
82	16715	184670
83	16911	184419
84	17104	184128
85	17299	183860
86	17492	183574
87	17691	183350
88	17884	183068
89	18077	182784
90	18266	182460
91	18452	182118
92	18644	181835
93	18836	181553
94	19027	181258
95	19214	180935
96	19418	180767
97	19621	180599
98	19813	180319
99	20011	180105
100	20201	179816
101	20396	179567
102	20599	179392
103	20812	179306
104	21038	179327
105	21256	179272
106	21459	179100
107	21650	178818
108	21852	178631
109	22043	178349
110	22230	178041
111	22422	177776
112	22612	177498
113	22808	177265
114	22994	176960
115	23183	176676
116	23399	176598
117	23603	176427
118	23804	176234
119	23992	175947
120	24184	175689
121	24380	175461
122	24581	175269
123	24776	175032
124	24967	174775
125	25186	174707
126	25407	174652
127	25597	174385
128	25792	174150
129	25998	173992
130	26199	173798
131	26402	173613
132	26592	173352
133	26786	173114
134	27035	173229
135	27276	173284
136	27477	173088
137	27670	172841
138	27861	172582
139	28053	172331
140	28254	172129
141	28450	171907
142	28677	171866
143	28872	171631
144	29074	171439
145	29312	171456
146	29508	171226
147	29706	171010
148	29901	170782
149	30181	171026
150	30435	171125
151	30643	170960
152	30838	170719
153	31031	170474
154	31224	170223
155	31429	170040
156	31623	169799
157	31813	169537
158	32003	169277
159	32197	169037
160	32385	168765
161	32577	168516
162	32767	168260
163	32955	167990
164	33146	167743
165	33337	167488
166	33523	167216
167	33718	166987
168	33909	166739
169	34098	166479
170	34288	166227
171	34484	166005
172	34674	165754
173	34867	165518
174	35058	165275
175	35281	165182
176	35505	165090
177	35694	164836
178	35901	164667
179	36085	164388
180	36283	164175
181	36474	163934
182	36667	163700
183	36859	163464
184	37045	163199
185	37236	162957
186	37431	162736
187	37627	162518
188	37819	162283
189	38015	162064
190	38206	161828
191	38408	161634
192	38599	161399
193	38796	161186
194	38988	160953
195	39175	160700
196	39362	160448
197	39554	160215
198	39744	159975
199	39933	159733
200	40137	159550
201	40324	159303
202	40515	159069
203	40706	158835
204	40900	158615
205	41092	158383
206	41284	158156
207	41482	157951
208	41671	157712
209	41858	157466
210	42048	157232
211	42238	156998
212	42422	156745
213	42632	156586
214	42836	156401
215	43021	156152
216	43207	155904
217	43395	155666
218	43593	155463
219	43788	155250
220	43980	155025
221	44170	154796
222	44361	154567
223	44550	154335
224	44750	154140
225	44940	153911
226	45125	153665
227	45363	153599
228	45578	153453
229	45773	153241
230	45965	153020
231	46158	152802
232	46352	152583
233	46560	152415
234	46750	152186
235	46945	151974
